user_id,timestamp,cell_id,data_MB,voice_min,sms_count,signal_strength,location_change,is_weekend,hour_of_day
U001,2025-04-01 00:00:00,C172,69.79,0.0,0,-74.4,0,0,0
U001,2025-04-01 01:00:00,C172,1.12,12.48,0,-84.5,0,0,1
U001,2025-04-01 02:00:00,C172,7.77,11.58,0,-89.5,0,0,2
U001,2025-04-01 03:00:00,C172,41.06,0.0,0,-86.8,0,0,3
U001,2025-04-01 04:00:00,C172,41.61,1.1,1,-81.1,0,0,4
U001,2025-04-01 05:00:00,C172,23.36,2.4,0,-71.7,0,0,5
U001,2025-04-01 06:00:00,C172,55.78,0.0,1,-89.5,0,0,6
U001,2025-04-01 07:00:00,C172,24.17,11.15,0,-78.4,0,0,7
U001,2025-04-01 08:00:00,C172,7.47,3.66,0,-75.1,0,0,8
U001,2025-04-01 09:00:00,C172,3.1,0.0,0,-89.3,0,0,9
U001,2025-04-01 10:00:00,C172,29.45,0.88,0,-87.1,0,0,10
U001,2025-04-01 11:00:00,C172,8.28,6.98,3,-84.4,0,0,11
U001,2025-04-01 12:00:00,C172,17.05,3.91,0,-85.1,0,0,12
U001,2025-04-01 13:00:00,C172,5.58,0.0,0,-81.3,0,0,13
U001,2025-04-01 14:00:00,C172,3.17,1.29,0,-78.5,0,0,14
U001,2025-04-01 15:00:00,C172,31.03,1.34,0,-91.3,0,0,15
U001,2025-04-01 16:00:00,C172,23.91,2.61,0,-80.0,0,0,16
U001,2025-04-01 17:00:00,C172,27.19,0.0,0,-85.8,0,0,17
U001,2025-04-01 18:00:00,C172,102.42,0.44,0,-78.5,0,0,18
U001,2025-04-01 19:00:00,C172,12.41,0.0,4,-81.3,0,0,19
U001,2025-04-01 20:00:00,C172,83.72,0.46,0,-92.4,0,0,20
U001,2025-04-01 21:00:00,C172,7.43,4.75,0,-83.5,0,0,21
U001,2025-04-01 22:00:00,C172,55.8,6.21,0,-82.0,0,0,22
U001,2025-04-01 23:00:00,C172,107.44,7.36,0,-88.3,0,0,23
U001,2025-04-02 00:00:00,C172,71.29,1.5,0,-93.0,0,0,0
U001,2025-04-02 01:00:00,C172,8.77,0.0,0,-91.7,0,0,1
U001,2025-04-02 02:00:00,C172,9.57,0.74,0,-82.7,0,0,2
U001,2025-04-02 03:00:00,C172,64.99,5.57,0,-91.5,0,0,3
